,Department,Gender,City,Salary
81,Marketing,Female,Ahmedabad,68248
228,Purchase,Female,Surat,69034
101,Marketing,Female,Surat,69320
121,Finance,Female,Mumbai,69377
84,HR,Female,Surat,69669
231,Marketing,Male,Chhenai,69750
143,Finance,Female,Baroda,70484
59,Purchase,Female,Surat,70511
203,HR,Female,Baroda,70774
30,Sales,Female,Ahmedabad,71005
198,Purchase,Male,Ahmedabad,71219
235,Marketing,Male,Baroda,71647
182,Sales,Male,Chhenai,71706
129,Marketing,Female,Surat,71800
49,Purchase,Female,Ahmedabad,71920
263,Sales,Male,Baroda,72025
199,IT,Female,Mumbai,72142
98,Finance,Female,Baroda,72293
174,Purchase,Male,Mumbai,72994
210,Purchase,Male,Chhenai,73326
216,Finance,Female,Chhenai,73638
112,HR,Female,Baroda,74009
70,Finance,Male,Mumbai,74024
186,HR,Male,Ahmedabad,74142
232,Purchase,Female,Mumbai,74332
53,IT,Female,Chhenai,74388
242,Marketing,Female,Chhenai,74653
215,Finance,Female,Chhenai,74773
118,Sales,Male,Baroda,75065
28,Marketing,Male,Ahmedabad,75167
209,Sales,Male,Mumbai,75235
262,IT,Female,Ahmedabad,75243
258,Purchase,Female,Mumbai,75366
190,Marketing,Male,Chhenai,75470
96,Purchase,Male,Baroda,76063
180,Finance,Female,Ahmedabad,76323
117,Sales,Female,Chhenai,76748
260,IT,Male,Surat,77028
168,Finance,Male,Ahmedabad,77268
77,Marketing,Female,Surat,77446
106,Finance,Male,Mumbai,77616
256,HR,Male,Ahmedabad,78475
14,Finance,Female,Ahmedabad,78506
147,Marketing,Male,Surat,78915
45,Sales,Female,Surat,79045
150,Sales,Male,Ahmedabad,79377
296,Purchase,Female,Ahmedabad,79596
103,Marketing,Female,Ahmedabad,79654
110,Marketing,Male,Chhenai,80544
79,Finance,Female,Mumbai,80573
269,HR,Female,Baroda,80724
238,IT,Female,Surat,80862
255,HR,Female,Surat,81024
4,IT,Male,Mumbai,81069
225,Sales,Male,Baroda,81466
169,HR,Male,Mumbai,81524
297,Purchase,Male,Baroda,81862
61,Purchase,Male,Chhenai,82284
128,Sales,Female,Mumbai,84028
26,Marketing,Female,Chhenai,84841
24,HR,Female,Mumbai,85099
39,Sales,Female,Baroda,85398
286,IT,Female,Ahmedabad,85486
109,HR,Female,Chhenai,85780
230,Sales,Male,Surat,86218
191,Marketing,Male,Chhenai,86309
32,Sales,Male,Baroda,86475
83,Marketing,Female,Baroda,86589
17,Purchase,Female,Mumbai,86673
72,IT,Female,Baroda,86696
287,HR,Male,Chhenai,86755
27,IT,Male,Chhenai,86861
197,Sales,Female,Baroda,87072
48,Marketing,Male,Chhenai,87459
272,Finance,Female,Mumbai,87776
7,Finance,Female,Ahmedabad,87834
149,Finance,Female,Chhenai,87892
268,Sales,Male,Surat,88415
241,IT,Male,Chhenai,88428
21,Sales,Female,Surat,89379
42,Purchase,Female,Ahmedabad,89598
56,Purchase,Female,Ahmedabad,90116
107,Finance,Female,Ahmedabad,90157
44,IT,Female,Chhenai,90568
134,Marketing,Female,Ahmedabad,90598
170,HR,Female,Chhenai,90618
97,HR,Female,Baroda,91115
152,Marketing,Female,Baroda,91431
153,HR,Male,Surat,91542
221,Marketing,Female,Surat,91631
248,IT,Female,Ahmedabad,92094
257,Purchase,Female,Surat,92214
102,HR,Female,Mumbai,92238
270,Purchase,Male,Surat,92494
175,Marketing,Female,Mumbai,92767
159,Purchase,Male,Chhenai,92827
206,Purchase,Female,Mumbai,92836
254,Purchase,Male,Baroda,93086
283,Finance,Male,Baroda,93333
208,Purchase,Male,Surat,93707
0,Purchase,Male,Chhenai,94186
250,Purchase,Male,Ahmedabad,94489
46,Finance,Male,Ahmedabad,94597
291,HR,Male,Ahmedabad,95036
29,Marketing,Female,Mumbai,95067
212,IT,Male,Mumbai,95537
226,Purchase,Female,Mumbai,95563
264,Finance,Female,Baroda,95700
279,Sales,Male,Baroda,95801
139,Purchase,Male,Mumbai,95826
20,HR,Male,Ahmedabad,96006
85,Marketing,Female,Chhenai,96678
122,IT,Female,Surat,97035
38,IT,Male,Baroda,97072
176,Marketing,Male,Surat,97190
218,Sales,Male,Mumbai,97215
161,Finance,Male,Chhenai,97542
285,Sales,Female,Baroda,98540
123,Sales,Male,Ahmedabad,98620
243,Marketing,Female,Ahmedabad,98806
116,Finance,Female,Mumbai,98962
82,Sales,Male,Surat,99248
100,Finance,Female,Ahmedabad,99363
160,Purchase,Male,Baroda,99398
